smiles,hepg2_pIC50,hct116_pIC50,n_tasks_observed
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC(N4CCCCC4)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,4.95,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCCCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.16,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCCCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,4.18,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCSC)C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.04,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCSC)C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.39,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC[C@H]3C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.14,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC[C@H]3C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,5.01,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCNCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,5.05,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCNCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,4.75,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.38,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,5.01,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)N3CCC[C@H]3C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,5.03,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)N[C@@H](C)C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.49,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)N[C@@H](C)C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.92,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.33,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCn3nnc(-c4ccccn4)n3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.32,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCn3nnc(-c4ccccn4)n3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,5.41,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCN)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,5.02,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCN)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,5.1,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCNC(=O)CCC(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,4.12,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCSC)C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.64,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)[C@H](C)[C@@H]5CC[C@]43C)[C@@H]12,4.95,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.51,4.88,2
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.38,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(COC(=O)N6CCC(N7CCCCC7)CC6)[C@@H]5CC[C@]43C)[C@@H]12,4.73,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@H]7C[C@H](n8cc(C)c(O)nc8=O)O[C@@H]7CO)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.42,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(N)nc8=O)[C@H](O)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.14,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](C[C@@H](O)[C@@H]4[C@@]5(C)CCC(=O)[C@@H](C)[C@@H]5CC[C@]43C)[C@@H]12,4.24,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@H]7C[C@H](n8cc(C)c(O)nc8=O)O[C@@H]7CO)nn6)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.02,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@H]7C[C@H](n8ccc(O)nc8=O)O[C@@H]7CO)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.71,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(N)nc8=O)[C@@H](F)[C@@H]7O)nn6)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.16,,1
