cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HCT116,55627,CHEMBL685779,CHEMBL26158,CN(C)c1ccc(C(=O)NCC2CCC(C(=O)NO)CC2)cc1,HCT-116,Homo sapiens,F,IC50,=,7600.0,nM,5.12,pchembl_value,5.12,,7.6e-06,7600.0,7.585776e-06,7585.77575,5.119186,0.000814
HCT116,55629,CHEMBL685779,CHEMBL27038,Nc1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cn1,HCT-116,Homo sapiens,F,IC50,=,87200.0,nM,4.06,pchembl_value,4.06,,8.72e-05,87200.0,8.7096359e-05,87096.358996,4.059484,0.000516
HCT116,55630,CHEMBL685779,CHEMBL27666,O=C(NO)C1CCC(CNS(=O)(=O)c2ccccc2)CC1,HCT-116,Homo sapiens,F,IC50,=,77900.0,nM,4.11,pchembl_value,4.11,,7.79e-05,77900.0,7.7624712e-05,77624.711663,4.108463,0.001537
HCT116,56067,CHEMBL690494,CHEMBL320263,COc1cc2c3c(n(C)c(=O)c2cc1OC)-c1cc2c(cc1/C3=C\CCCBr)OCO2,HCT-116,Homo sapiens,F,GI50,=,37800.0,nM,4.422508,fallback_from_standard_value_units,,,3.78e-05,37800.0,3.7800017e-05,37800.017422,4.422508,0.0
HCT116,56077,CHEMBL690494,CHEMBL325085,COc1cc2c3c(n(CCC[N+](C)(C)C)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2.[Cl-],HCT-116,Homo sapiens,F,GI50,=,130.0,nM,6.886057,fallback_from_standard_value_units,,,1.3e-07,130.0,1.3e-07,129.999895,6.886057,0.0
HCT116,56920,CHEMBL687057,CHEMBL277471,O=C1NC(=O)c2c1c1c3ccccc3ncc1c1[nH]c3ccccc3c21,HCT-116,Homo sapiens,F,IC50,=,390.0,nM,6.41,pchembl_value,6.41,,3.9e-07,390.0,3.89045e-07,389.045145,6.408935,0.001065
HCT116,57291,CHEMBL690494,CHEMBL109363,COc1cc2c3c(n(C)c(=O)c2cc1OC)-c1cc2c(cc1/C3=C/CCN)OCO2,HCT-116,Homo sapiens,F,GI50,=,28.0,nM,7.552842,fallback_from_standard_value_units,,,2.8e-08,28.0,2.8e-08,27.999998,7.552842,0.0
HCT116,59304,CHEMBL687057,CHEMBL280949,O=C1NC(=O)c2c1c1c3ccncc3ccc1c1[nH]c3ccccc3c21,HCT-116,Homo sapiens,F,IC50,=,130.0,nM,6.89,pchembl_value,6.89,,1.3e-07,130.0,1.28825e-07,128.824955,6.886057,0.003943
HCT116,60692,CHEMBL685779,CHEMBL285793,O=C(NCC1CCC(C(=O)NO)CC1)NC12CC3CC(CC(C3)C1)C2,HCT-116,Homo sapiens,F,IC50,=,20900.0,nM,4.68,pchembl_value,4.68,,2.09e-05,20900.0,2.0892961e-05,20892.961309,4.679854,0.000146
HCT116,61231,CHEMBL690494,CHEMBL113109,COc1cc2c3c(n(C)c(=O)c2cc1OC)-c1cc2c(cc1/C3=C/CCCCCBr)OCO2,HCT-116,Homo sapiens,F,GI50,=,6100.0,nM,5.21467,fallback_from_standard_value_units,,,6.1e-06,6100.0,6.100002e-06,6100.002317,5.21467,0.0
