cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment
HepG2,124106,CHEMBL694352,CHEMBL16004,CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(N=[N+]=[N-])cc2)c1,HepG2,Homo sapiens,F,IC50,=,1200.0,nM,5.92,pchembl_value,5.92,
HepG2,141496,CHEMBL694352,CHEMBL15929,CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(C#N)cc2)c1,HepG2,Homo sapiens,F,IC50,=,60.0,nM,7.22,pchembl_value,7.22,
HepG2,143998,CHEMBL694352,CHEMBL15811,CCN(CC#Cc1ccccc1N=[N+]=[N-])Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,145237,CHEMBL692122,CHEMBL120102,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(Cl)cc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,1100.0,nM,5.96,pchembl_value,5.96,
HepG2,146420,CHEMBL688224,CHEMBL122674,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(-c3ccccc3)cc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,100.0,nM,7.0,pchembl_value,7.00,
HepG2,147321,CHEMBL694940,CHEMBL90393,Nc1ccn([C@H]2C=C[C@@H](CO)S2)c(=O)n1,HepG2,Homo sapiens,F,IC50,=,15000.0,nM,4.82,pchembl_value,4.82,
HepG2,147461,CHEMBL694939,CHEMBL92659,CC1=C(SCCO)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,=,8400.0,nM,5.08,pchembl_value,5.08,
HepG2,148665,CHEMBL694939,CHEMBL93699,CC1=C(SC(C)C(C)O)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,>,10000.0,nM,5.0,fallback_from_standard_value_units,,
HepG2,152192,CHEMBL694939,CHEMBL91008,CC1=C(SCCCCCCO)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,>,10000.0,nM,5.0,fallback_from_standard_value_units,,
HepG2,153336,CHEMBL694940,CHEMBL89223,Nc1nc(=O)n([C@@H]2C=C[C@H](CO)S2)cc1F,HepG2,Homo sapiens,F,IC50,=,3500.0,nM,5.46,pchembl_value,5.46,
HepG2,153576,CHEMBL871945,CHEMBL123826,CC(C)(C)c1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,88.0,nM,7.06,pchembl_value,7.06,
HepG2,154669,CHEMBL694939,CHEMBL93755,CC1=C(SCC(C)O)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,=,5590.0,nM,5.25,pchembl_value,5.25,
HepG2,154775,CHEMBL686028,CHEMBL124354,Cc1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,78.0,nM,7.11,pchembl_value,7.11,
