SMILES,top1_pActivity
C/C=C(\C)C(=O)O[C@H]1[C@H](OC(=O)/C(C)=C/C)[C@]2(CO)[C@H](O)[C@H](O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7O[C@@H](CO)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,4.27
C/C=C(\C)C(=O)O[C@H]1[C@H](OC(=O)/C(C)=C/C)[C@]2(CO)[C@H](O)[C@H](O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7O[C@@H](CO)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,4.31
C/C=C(\C)C(=O)O[C@H]1[C@H](OC(=O)C(C)CC)[C@]2(CO)[C@H](O)[C@H](O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7O[C@@H](CO)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,3.880414225038216
C/C=C/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.886056647693163
C=C1NC(=O)C(C)C(CCC(C)C(=O)/C=C/C(C)=C/CC(C)CCCCCCC)OC(=O)[C@H](CC(OS(=O)(=O)O)C(N)=O)NC(=O)[C@@H](C)CNC1=O,4.366666666666666
C=CCC/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.899629454882437
C=CCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,4.4
C=CCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.6020599913279625
C=Cc1cccc2nc3c(cc12)Cn1c-3cc2c(c1=O)COC(=O)[C@]2(O)CC,5.38
CC(=O)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,6.0
CC(=O)OC[C@]1(O)CO[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc(O)c3c2=O)[C@H]1O,3.8239087409443187
CC(=O)O[C@@H]1[C@@H](C)O[C@@H](c2ccc3c(c2O)[C@@H](O)[C@]24O[C@@]2(C3=O)[C@@]2(O)C(=O)C=C(C)C[C@@]2(O)C[C@@H]4O)C[C@H]1OC(=O)/C=C/C=C/C=C/C=C/C(=O)Nc1c(O)c2ccc(O)c(Cl)c2oc1=O,4.22
CC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,4.35
CC(=O)O[C@H]1C[C@H]([C@H](C)CC/C=C(\C)C(=O)O)[C@@]2(C)CC=C3C(=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]34C)[C@]12C,4.26
CC(=O)O[C@H]1C[C@H]([C@H](C)CC/C=C(\C)C(=O)O)[C@@]2(C)CC=C3C(=CC[C@H]4C(C)(C)[C@H](O)CC[C@]34C)[C@]12C,4.6
CC(=O)Oc1cc(C(=O)Nc2ccc(NC(=O)c3cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c3)cc2)cc(OC(C)=O)c1OC(C)=O,5.07
CC(=O)Oc1cc(C(=O)Nc2cccc(NC(=O)c3cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c3)c2)cc(OC(C)=O)c1OC(C)=O,4.95
CC(=O)Oc1cc(C(=O)Nc2ccccc2NC(=O)c2cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c2)cc(OC(C)=O)c1OC(C)=O,5.33
CC(=O)Oc1ccc(C(=O)Nc2cccc(NC(=O)c3ccc(OC(C)=O)c(OC(C)=O)c3)c2)cc1OC(C)=O,4.37
CC(=O)Oc1ccc(C(=O)Nc2ccccc2NC(=O)c2ccc(OC(C)=O)c(OC(C)=O)c2)cc1OC(C)=O,4.06
CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.6819366650372385
CC(C)=CC[C@@H](OC(=O)C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,4.08
CC(C)=CC[C@@H](OC(=O)C(Cl)(Cl)Cl)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.939302159646388
CC(C)=CC[C@@H](OC(=O)C=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,4.11
CC(C)=CC[C@@H](OC(=O)CCl)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.8632794328435933
CC(C)=CC[C@@H](OC(=O)Cc1ccccc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.653647025549361
CC(C)=CC[C@@H](OC(=O)c1ccccc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.815308569182401
CC(CN(C)C)Oc1ccc2c3c(oc2c1)C(=O)c1ccccc1C3=O,4.22
CC(COc1ccc2c3c(oc2c1)C(=O)c1ccccc1C3=O)N(C)C,4.38
CC/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,4.1
CC/C=C/CC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.815308569182401
CC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,5.4
CC1CCN(S(=O)(=O)c2ccc(-c3ccno3)cc2)CC1,4.56
CCC(=O)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,6.32
CCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,4.36
CCC(O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3c(N)c4c(cc3nc1-2)OCO4.[Na+],5.26
CCC(O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3c(N)cccc3nc1-2.[Na+],4.89
CCC(O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3cc([O-])ccc3nc1-2.[Na+].[Na+],5.5
CCC(O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3cc4c(cc3nc1-2)OCO4.[Na+],6.26
CCC(O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3ccccc3nc1-2.[Na+],5.7
CCC(O)c1cc(OC)c2c(c1OC)C(=O)C=CC2=O,3.9142457557903008
CCC/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3.815308569182401
